User_id,latitude,longitude,time_stamp
560546339436519426,39.707596,-105.107224,Wed Jan 28 21:13:56 +0000 2015
560546342259281921,39.739206,-104.984525,Wed Jan 28 21:13:57 +0000 2015
560546356050153472,38.526768,-104.909367,Wed Jan 28 21:14:00 +0000 2015
560546379236257793,33.91709,-117.330669,Wed Jan 28 21:14:05 +0000 2015
560546404817330176,39.718054,-104.823661,Wed Jan 28 21:14:12 +0000 2015
560546504658534401,39.654465,-104.888469,Wed Jan 28 21:14:35 +0000 2015
560546622367477760,33.947739,-117.383496,Wed Jan 28 21:15:03 +0000 2015
560546658979545088,39.718002,-104.823886,Wed Jan 28 21:15:12 +0000 2015
560546694429810688,33.912985,-117.429027,Wed Jan 28 21:15:21 +0000 2015
560546705738055682,39.647852,-105.081948,Wed Jan 28 21:15:23 +0000 2015
560546743830315008,33.947672,-117.382411,Wed Jan 28 21:15:32 +0000 2015
560546754236411904,39.760111,-104.870915,Wed Jan 28 21:15:35 +0000 2015
560546792387801088,39.787866,-105.021924,Wed Jan 28 21:15:44 +0000 2015
560546810939187201,39.592887,-104.747738,Wed Jan 28 21:15:48 +0000 2015
560546829818150915,39.824969,-105.007371,Wed Jan 28 21:15:53 +0000 2015
560546857542111232,33.947844,-117.383386,Wed Jan 28 21:15:59 +0000 2015
560546902014308352,39.817058,-105.091973,Wed Jan 28 21:16:10 +0000 2015
560546943529545728,38.52636,-104.908234,Wed Jan 28 21:16:20 +0000 2015
560546966770184193,39.654571,-104.888365,Wed Jan 28 21:16:25 +0000 2015
560546997115953153,39.591285,-104.686215,Wed Jan 28 21:16:33 +0000 2015
560546996784615424,39.718045,-104.823719,Wed Jan 28 21:16:33 +0000 2015
560547013591175169,39.744888,-104.995132,Wed Jan 28 21:16:37 +0000 2015
560547042565447680,33.955838,-117.329482,Wed Jan 28 21:16:44 +0000 2015
560547130398748672,33.973663,-117.330237,Wed Jan 28 21:17:05 +0000 2015
560547156046512128,39.714051,-104.811651,Wed Jan 28 21:17:11 +0000 2015
560547192520187904,33.942883,-117.414142,Wed Jan 28 21:17:19 +0000 2015
560547221574524929,39.787838,-105.021918,Wed Jan 28 21:17:26 +0000 2015
560547237634138113,33.987419,-117.350028,Wed Jan 28 21:17:30 +0000 2015
560547340314869760,39.744427,-104.836166,Wed Jan 28 21:17:55 +0000 2015
560547394790895616,39.61166,-104.773189,Wed Jan 28 21:18:08 +0000 2015
560547406245138432,33.942883,-117.414142,Wed Jan 28 21:18:10 +0000 2015
560547427849994240,39.739154,-104.984703,Wed Jan 28 21:18:15 +0000 2015
560547515733254146,39.739154,-104.984703,Wed Jan 28 21:18:36 +0000 2015
560547518602158080,39.624549,-104.735634,Wed Jan 28 21:18:37 +0000 2015
560547625254928385,39.742756,-105.012481,Wed Jan 28 21:19:02 +0000 2015
560547658461237248,33.97566,-117.322541,Wed Jan 28 21:19:10 +0000 2015
560547671925325825,40.23243,-105.255105,Wed Jan 28 21:19:14 +0000 2015
560547790603161600,39.647925,-105.08215,Wed Jan 28 21:19:42 +0000 2015
560547795321364480,39.623376,-104.900589,Wed Jan 28 21:19:43 +0000 2015
560547828209319936,39.654492,-104.888371,Wed Jan 28 21:19:51 +0000 2015
560547839646760961,39.737778,-104.915972,Wed Jan 28 21:19:54 +0000 2015
560547853936766976,33.947778,-117.382526,Wed Jan 28 21:19:57 +0000 2015
560547873410936832,39.883268,-105.02438,Wed Jan 28 21:20:02 +0000 2015
560547912715747329,39.676285,-104.964461,Wed Jan 28 21:20:11 +0000 2015
560547987089154048,33.947861,-117.383342,Wed Jan 28 21:20:29 +0000 2015
560547988301705216,39.8666,-104.986127,Wed Jan 28 21:20:29 +0000 2015
560548002960801792,33.977513,-117.333017,Wed Jan 28 21:20:33 +0000 2015
560548016181227520,39.746964,-104.994945,Wed Jan 28 21:20:36 +0000 2015
560548071285600256,39.687551,-104.831163,Wed Jan 28 21:20:49 +0000 2015
560548081259655168,39.663161,-104.827951,Wed Jan 28 21:20:51 +0000 2015
560548096539504641,39.633987,-104.890915,Wed Jan 28 21:20:55 +0000 2015
560548186885226496,39.8666,-104.986131,Wed Jan 28 21:21:16 +0000 2015
560548188604882944,39.920622,-105.017643,Wed Jan 28 21:21:17 +0000 2015
560548225170407424,33.947684,-117.382353,Wed Jan 28 21:21:26 +0000 2015
560548235521970176,39.718046,-104.823829,Wed Jan 28 21:21:28 +0000 2015
560548251582332928,39.737658,-105.028905,Wed Jan 28 21:21:32 +0000 2015
560548268384325634,39.846131,-105.003672,Wed Jan 28 21:21:36 +0000 2015
560548294422560768,39.718046,-104.823829,Wed Jan 28 21:21:42 +0000 2015
560548304010760192,39.744888,-104.995132,Wed Jan 28 21:21:44 +0000 2015
560548324013395968,39.624672,-104.736019,Wed Jan 28 21:21:49 +0000 2015
560548326584500224,39.691441,-104.918082,Wed Jan 28 21:21:50 +0000 2015
560548335346409473,39.611499,-104.903745,Wed Jan 28 21:21:52 +0000 2015
560548340153073666,39.691892,-105.027533,Wed Jan 28 21:21:53 +0000 2015
560548368657575937,39.680652,-104.842893,Wed Jan 28 21:22:00 +0000 2015
560548386949304320,39.850293,-104.673786,Wed Jan 28 21:22:04 +0000 2015
560548410332553216,33.979437,-117.326002,Wed Jan 28 21:22:10 +0000 2015
560548441034465280,39.777102,-105.082307,Wed Jan 28 21:22:17 +0000 2015
560548488723701760,39.699516,-104.890112,Wed Jan 28 21:22:28 +0000 2015
560548548488744960,33.918486,-117.441408,Wed Jan 28 21:22:43 +0000 2015
560548576355291136,38.7212,-104.778163,Wed Jan 28 21:22:49 +0000 2015
560548593916841984,39.629833,-105.016619,Wed Jan 28 21:22:53 +0000 2015
560548599952867328,39.718455,-104.958213,Wed Jan 28 21:22:55 +0000 2015
560548654172237824,39.746012,-104.994593,Wed Jan 28 21:23:08 +0000 2015
560548656831401984,39.746012,-104.994593,Wed Jan 28 21:23:08 +0000 2015
560548658257461248,39.746012,-104.994593,Wed Jan 28 21:23:09 +0000 2015
560548659327008770,39.746012,-104.994593,Wed Jan 28 21:23:09 +0000 2015
560548660400775168,39.746012,-104.994593,Wed Jan 28 21:23:09 +0000 2015
560548674187431936,33.911544,-117.503022,Wed Jan 28 21:23:13 +0000 2015
560548720975290370,40.23243,-105.255105,Wed Jan 28 21:23:24 +0000 2015
560548725135646720,39.691536,-104.917689,Wed Jan 28 21:23:25 +0000 2015
560548741472468993,39.731245,-104.852922,Wed Jan 28 21:23:29 +0000 2015
560548744484356096,39.722008,-104.982107,Wed Jan 28 21:23:29 +0000 2015
560548810619756544,39.713893,-104.811688,Wed Jan 28 21:23:45 +0000 2015
560548841636646912,39.758874,-104.427461,Wed Jan 28 21:23:52 +0000 2015
560548866462720001,39.904235,-105.090294,Wed Jan 28 21:23:58 +0000 2015
560548900621144064,39.747664,-104.988955,Wed Jan 28 21:24:07 +0000 2015
560548912121925633,40.070155,-104.510087,Wed Jan 28 21:24:09 +0000 2015
560548930836901889,39.73471,-104.809182,Wed Jan 28 21:24:14 +0000 2015
560548952362475521,39.618763,-104.901457,Wed Jan 28 21:24:19 +0000 2015
560548992656756736,39.630728,-104.876778,Wed Jan 28 21:24:29 +0000 2015
560548994653638657,39.61152,-104.773111,Wed Jan 28 21:24:29 +0000 2015
560549131710922753,39.611657,-104.773212,Wed Jan 28 21:25:02 +0000 2015
560549204863774720,39.618763,-104.901457,Wed Jan 28 21:25:19 +0000 2015
560549223759085570,39.717753,-104.928937,Wed Jan 28 21:25:24 +0000 2015
560549230423470080,39.744427,-104.836166,Wed Jan 28 21:25:25 +0000 2015
560549234530091010,39.618763,-104.901457,Wed Jan 28 21:25:26 +0000 2015
560549281502085120,39.909858,-104.814548,Wed Jan 28 21:25:37 +0000 2015
560549351680786433,39.846189,-105.003797,Wed Jan 28 21:25:54 +0000 2015
560549404277755904,40.23243,-105.255105,Wed Jan 28 21:26:07 +0000 2015
560549416936153088,33.922604,-117.47989,Wed Jan 28 21:26:10 +0000 2015
560549421709295616,33.979149,-117.325858,Wed Jan 28 21:26:11 +0000 2015
560549434183147522,39.606241,-106.332328,Wed Jan 28 21:26:14 +0000 2015
560549455162667008,33.975458,-117.32271,Wed Jan 28 21:26:19 +0000 2015
560549497235709952,33.928211,-117.422186,Wed Jan 28 21:26:29 +0000 2015
560549497798160385,39.611573,-104.773159,Wed Jan 28 21:26:29 +0000 2015
560549511303426048,33.883262,-117.333205,Wed Jan 28 21:26:32 +0000 2015
560549519033503744,39.861812,-105.066383,Wed Jan 28 21:26:34 +0000 2015
560549603515592704,39.618763,-104.901457,Wed Jan 28 21:26:54 +0000 2015
560549709845393408,39.62183,-104.987891,Wed Jan 28 21:27:19 +0000 2015
560549784033820673,39.714167,-104.811595,Wed Jan 28 21:27:37 +0000 2015
560549804091002880,39.735067,-104.809319,Wed Jan 28 21:27:42 +0000 2015
560549825951715328,39.735213,-104.809167,Wed Jan 28 21:27:47 +0000 2015
560549835678703618,39.909862,-104.815052,Wed Jan 28 21:27:49 +0000 2015
560549838409175041,40.23243,-105.255105,Wed Jan 28 21:27:50 +0000 2015
560549848525455362,39.861803,-105.066356,Wed Jan 28 21:27:53 +0000 2015
560549849922535425,33.981463,-117.369873,Wed Jan 28 21:27:53 +0000 2015
560549862530232320,39.791123,-105.032171,Wed Jan 28 21:27:56 +0000 2015
560549880037662721,39.618763,-104.901457,Wed Jan 28 21:28:00 +0000 2015
560549886731366400,39.713916,-104.811716,Wed Jan 28 21:28:02 +0000 2015
560549915823050752,39.592103,-104.74657,Wed Jan 28 21:28:09 +0000 2015
560549953781919746,33.980564,-117.325689,Wed Jan 28 21:28:18 +0000 2015
560550013453877248,39.735087,-104.809328,Wed Jan 28 21:28:32 +0000 2015
560550032928022529,39.609521,-105.100459,Wed Jan 28 21:28:37 +0000 2015
560550045745831938,33.947743,-117.382485,Wed Jan 28 21:28:40 +0000 2015
560550049386885120,39.866599,-104.986082,Wed Jan 28 21:28:40 +0000 2015
560550054826479616,39.7352,-104.809175,Wed Jan 28 21:28:42 +0000 2015
User_id,latitude,longitude,time_stamp
560550393000636416,39.861839,-105.066271,Wed Jan 28 21:30:02 +0000 2015
560550431655735296,39.674498,-104.95996,Wed Jan 28 21:30:12 +0000 2015
560550455009624064,39.72899,-104.985839,Wed Jan 28 21:30:17 +0000 2015
560550503168233472,33.913873,-117.321579,Wed Jan 28 21:30:29 +0000 2015
560550534277763072,39.703547,-104.934729,Wed Jan 28 21:30:36 +0000 2015
560550704100540417,33.913835,-117.321602,Wed Jan 28 21:31:17 +0000 2015
560550755929575424,39.743691,-105.020361,Wed Jan 28 21:31:29 +0000 2015
560550778591399938,39.713916,-104.811685,Wed Jan 28 21:31:34 +0000 2015
560550852461481985,39.71404,-104.811646,Wed Jan 28 21:31:52 +0000 2015
560550860112289792,33.952685,-117.391014,Wed Jan 28 21:31:54 +0000 2015
560550873055506432,39.744942,-105.005141,Wed Jan 28 21:31:57 +0000 2015
560550901513871361,33.912874,-117.321496,Wed Jan 28 21:32:04 +0000 2015
560550928252559360,39.680974,-105.120044,Wed Jan 28 21:32:10 +0000 2015
560550934493663232,39.714241,-104.881967,Wed Jan 28 21:32:11 +0000 2015
560550966076776448,39.654483,-104.888366,Wed Jan 28 21:32:19 +0000 2015
560550973483921409,33.913762,-117.321603,Wed Jan 28 21:32:21 +0000 2015
560550997987041280,39.689596,-104.98019,Wed Jan 28 21:32:27 +0000 2015
560551014081003520,39.866601,-104.986137,Wed Jan 28 21:32:30 +0000 2015
560551027342966784,33.893509,-117.437181,Wed Jan 28 21:32:34 +0000 2015
560551065217540096,39.786254,-104.912187,Wed Jan 28 21:32:43 +0000 2015
560551071886479361,33.973035,-117.329581,Wed Jan 28 21:32:44 +0000 2015
560551111858200577,33.970893,-117.382943,Wed Jan 28 21:32:54 +0000 2015
560551131437596672,39.754184,-104.92152,Wed Jan 28 21:32:58 +0000 2015
560551158721150977,38.677797,-104.781698,Wed Jan 28 21:33:05 +0000 2015
560551163360063488,39.670779,-105.149195,Wed Jan 28 21:33:06 +0000 2015
